node_id	node_type
mod(mdg4)	source
su(Hw)	source
E(z)	source
E(z)	source
mod(mdg4)	source
mod(mdg4)	source
su(Hw)	source
su(Hw)	source
su(Hw)	source
pre-mod(mdg4)-T	source
E(bx)	source
su(Hw)	source
Su(H)	source
Su(Tpl)	source
Su(Tpl)	source
lilli	target
E(z)	source
Su(z)12	target
Su(H)	source
N	target
E(z)	source
Caf1-55	target
E(z)	source
HDAC1	target
mod(mdg4)	source
Chi	target
mod(mdg4)	source
Cp190	target
su(Hw)	source
Cp190	target
su(Hw)	source
shep	target
mod(mdg4)	source
shep	target
mod(mdg4)	source
Trl	target
E(bx)	source
Trl	target
su(Hw)	source
Chi	target
E(z)	source
His3	target
E(bx)	source
Caf1-55	target
mod(mdg4)	source
Topors	target
su(Hw)	source
Topors	target
su(Hw)	source
HIPP1	target
mod(mdg4)	source
HIPP1	target
mod(mdg4)	source
z	target
Su(dx)	source
N	target
su(Hw)	source
z	target
su(Hw)	source
east	target
mod(mdg4)	source
east	target
E(bx)	source
Cp190	target
mod(mdg4)	source
rump	target
su(Hw)	source
rump	target
E(z)	source
Trl	target
Su(H)	source
lilli	target
E(bx)	source
His3	target
Su(H)	source
HDAC1	target
su(Hw)	source
Clamp	target
mod(mdg4)	source
Clamp	target
su(Hw)	source
Hr78	target
Su(H)	source
CG31955	target
Su(H)	source
Rel	target
su(Hw)	source
Rel	target
su(Hw)	source
CG31955	target
Su(H)	source
Hr78	target
E(spl)mγ-HLH	source
Su(Tpl)	source
βTub60D::βTub85D	source
βTub85D	source
mod(mdg4)	source
su(Hw)	source
α-Cat	source
α-Cat::shg	source
AP-2α	source
AP-2σ	source
Sytα	source
Sytβ	source
Su(H)	source
Su(Tpl)	source
γTub37C	source
E(γTub37C<up>1</up>)	source
Liprin-α	source
Liprin-β	source
β-Spec	source
α-Spec	source
Prosβ2	source
Prosβ6	source
Kap-α3	source
Kap-α1	source
Sytβ	source
Sytα	source
Liprin-α	source
Liprin-γ	source
14-3-3ε	source
14-3-3ζ	source
Gαq	source
Gβ76C	source
Octβ2R	source
Octβ1R	source
Gαo	source
Gγ1	source
α-Spec	source
β-Spec	source
Prosβ6	source
Prosα2	source
Prosβ6	source
Prosβ2	source
E(z)	source
E(Pc)	source
α-Cat	source
α-Cat::baz	source
ScsβA	source
ScsβA::ScsβG	source
E(spl)mβ-HLH	source
Su(dx)	source
Liprin-β	source
Liprin-α	source
β3GalTII	source
β4GalT7	source
Octβ1R	source
Octβ2R	source
Gβ76C	source
Gαq	source
Prosα2	source
Prosβ6	source
Prosα6T	source
Prosα6	source
AP-2α::numb	source
AP-2α	source
β4GalT7	source
β3GalTII	source
βTub85D	source
αTub84B	source
CkIIα	source
CkIIβ	source
Prosβ2	source
Prosα2	source
Liprin-β	source
Liprin-γ	source
14-3-3ε	source
Ras85D	target
14-3-3ε	source
foxo	target
14-3-3ε	source
par-1	target
14-3-3ε	source
tor	target
14-3-3ε	source
yki	target
14-3-3ζ	source
H	target
14-3-3ζ	source
Src42A	target
14-3-3ζ	source
ct	target
14-3-3ζ	source
faf	target
14-3-3ζ	source
tor	target
14-3-3ζ	source
yki	target
AMPKα	source
park	target
AMPKα	source
sqh	target
AP-1μ	source
Psn	target
AP-2α	source
Dl	target
AP-2α	source
N	target
AP-2α	source
X11L	target
AP-2α	source
slbo	target
AP-2α	source
unc-104	target
ATPsynβ	source
park	target
Actβ	source
Mad	target
Actβ	source
Smox	target
Actβ	source
sev	target
Actβ	source
tutl	target
Ca-α1D	source
sei	target
Cdk5α	source
ninaE	target
CkIIα	source
N	target
CkIIα	source
Pdfr	target
CkIIα	source
S6kII	target
CkIIα	source
orb	target
CkIIβ	source
Pdfr	target
CkIIβ	source
S6kII	target
CkIIβ	source
orb	target
CkIα	source
H	target
CkIα	source
brat	target
DJ-1α	source
Pink1	target
DJ-1α	source
Pten	target
DJ-1α	source
Ras85D	target
DJ-1α	source
Ret	target
DJ-1α	source
Smox	target
DNApol-α60	source
faf	target
DNApol-η	source
lok	target
E(B)	source
B	target
E(Pc)	source
CycE	target
E(Pc)	source
E2f1	target
E(Pc)	source
Marcal1	target
E(Pc)	source
Pc	target
E(Pc)	source
Pcl	target
E(Pc)	source
dom	target
E(Pc)	source
esc	target
E(Pc)	source
pho	target
E(Pc)	source
w	target
E(bx)	source
Iswi	target
E(bx)	source
Trl	target
E(bx)	source
Ubx	target
E(bx)	source
chb	target
E(bx)	source
gcm	target
E(bx)	source
hop	target
E(bx)	source
lncRNA:roX1	target
E(comt<up>6</up>)21E	source
comt	target
E(comt<up>6</up>)E32	source
comt	target
E(da)	source
da	target
E(f)	source
f	target
E(hop<up>Tum</up>)	source
hop	target
E(ro<up>DOM</up>)1065	source
ro	target
E(ro<up>DOM</up>)1777	source
ro	target
E(ro<up>DOM</up>)1801	source
ro	target
E(ro<up>DOM</up>)2051	source
ro	target
E(ro<up>DOM</up>)2409	source
ro	target
E(ro<up>DOM</up>)3222	source
ro	target
E(ro<up>DOM</up>)50	source
ro	target
E(spl)m8-HLH::E(spl)mδ-HLH	source
N	target
E(spl)mα-BFM	source
N	target
E(spl)mβ-HLH	source
N	target
E(spl)mβ-HLH	source
gro	target
E(spl)mβ-HLH	source
sc	target
E(spl)mβ-HLH	source
tkv	target
E(spl)mγ-HLH	source
Cdk9	target
E(spl)mγ-HLH	source
N	target
E(spl)mγ-HLH	source
brat	target
E(spl)mγ-HLH	source
erm	target
E(spl)mγ-HLH	source
erm	target
E(spl)mγ-HLH	source
sc	target
E(spl)mδ-HLH	source
N	target
E(spl)mδ-HLH	source
sc	target
E(w<up>a</up>)	source
w	target
E(w<up>a</up>)705	source
w	target
E(w<up>a</up>)706	source
w	target
E(w<up>a</up>)709	source
w	target
E(w<up>a</up>)736	source
w	target
E(w<up>a</up>)757	source
w	target
E(w<up>a</up>)761	source
w	target
E(w<up>a</up>)818	source
w	target
E(w<up>a</up>)829	source
w	target
E(z)	source
Marcal1	target
E(z)	source
Nsf2	target
E(z)	source
Pc	target
E(z)	source
Pc	target
E(z)	source
Pcl	target
E(z)	source
Pp1-87B	target
E(z)	source
Psc	target
E(z)	source
Psc	target
E(z)	source
