source	target	interaction
mod(mdg4)	su(Hw)	pp
E(z)	E(z)	pp
mod(mdg4)	mod(mdg4)	pp
su(Hw)	su(Hw)	pp
su(Hw)	pre-mod(mdg4)-T	pp
E(bx)	su(Hw)	pp
Su(H)	Su(Tpl)	pp
E(spl)mγ-HLH	Su(Tpl)	gi
βTub60D::βTub85D	βTub85D	gi
mod(mdg4)	su(Hw)	gi
α-Cat	α-Cat::shg	gi
AP-2α	AP-2σ	gi
Sytα	Sytβ	gi
Su(H)	Su(Tpl)	gi
γTub37C	E(γTub37C<up>1</up>)	gi
Liprin-α	Liprin-β	gi
β-Spec	α-Spec	gi
Prosβ2	Prosβ6	gi
Kap-α3	Kap-α1	gi
Sytβ	Sytα	gi
Liprin-α	Liprin-γ	gi
14-3-3ε	14-3-3ζ	gi
Gαq	Gβ76C	gi
Octβ2R	Octβ1R	gi
Gαo	Gγ1	gi
α-Spec	β-Spec	gi
Prosβ6	Prosα2	gi
Prosβ6	Prosβ2	gi
E(z)	E(Pc)	gi
α-Cat	α-Cat::baz	gi
ScsβA	ScsβA::ScsβG	gi
E(spl)mβ-HLH	Su(dx)	gi
Liprin-β	Liprin-α	gi
β3GalTII	β4GalT7	gi
Octβ1R	Octβ2R	gi
Gβ76C	Gαq	gi
Prosα2	Prosβ6	gi
Prosα6T	Prosα6	gi
AP-2α::numb	AP-2α	gi
β4GalT7	β3GalTII	gi
βTub85D	αTub84B	gi
CkIIα	CkIIβ	gi
Prosβ2	Prosα2	gi
Liprin-β	Liprin-γ	gi
