node_id	node_type
tub	source
Myd88	source
tub	source
pll	source
pll	source
dl	source
tub	source
dl	source
spz	source
Tl	source
wek	source
Myd88	source
Tehao	source
Tl	source
pll	source
Tehao	source
wek	source
Tl	source
pll	source
Myd88	source
Myd88	source
Tl	source
pll	source
Tl	source
tub	source
Tl	source
dl	source
Rel	target
Dif	source
cact	target
dl	source
cact	target
Dif	source
Rel	target
tub	source
cact	target
pll	source
Pli	target
tub	source
cher	target
pll	source
cher	target
spz5	source
Toll-6	target
Myd88	source
Pli	target
tub	source
Pli	target
spz5	source
Toll-7	target
pll	source
cact	target
Myd88	source
smt3	target
tub	source
smt3	target
Tl	source
mir-8	target
dl	source
mir-8	target
dl	source
MED17	target
Dif	source
MED17	target
Dif	source
MED31	target
dl	source
smt3	target
dl	source
MED21	target
dl	source
MED31	target
Dif	source
Cdk8	target
Dif	source
MED21	target
dl	source
Cdk8	target
Tl	source
mir-958	target
Dif	source
mir-958	target
Myd88	source
Toll-6	target
Myd88	source
Toll-7	target
wek	source
Toll-6	target
wek	source
Ect4	target
Myd88	source
Ect4	target
dl	source
Dif	source
Dif	source
dl	source
wek	source
Myd88	source
wek	source
tub	source
Tl	source
Dif	source
wek	source
Tl	source
spz	source
Tl	source
Tl	source
Myd88	source
Tl	source
spz	source
wek	source
pll	source
Dif	source
cact	target
Dif	source
lwr	target
Myd88	source
Ect4	target
Myd88	source
Toll-6	target
Myd88	source
dlg1	target
Myd88	source
pnr	target
Myd88	source
tor::tub	target
Tl	source
PH4αEFB	target
Tl	source
Rel	target
Tl	source
cact	target
Tl	source
dlg1	target
Tl	source
mad2	target
Tl	source
mxc	target
Tl	source
pnr	target
Tl	source
vtd	target
dl	source
cact	target
dl	source
lwr	target
dl	source
mad2	target
dl	source
vtd	target
pll	source
cact	target
pll	source
mad2	target
spz	source
NT1	target
spz	source
Rel	target
spz	source
Toll-6	target
spz	source
cact	target
spz	source
dlg1	target
spz	source
mad2	target
spz5	source
NT1	target
tub	source
cact	target
tub	source
mxc	target
tub	source
tor::tub	target
wek	source
Ect4	target
wek	source
Toll-6	target
