source	target	interaction
tub	Myd88	pp
tub	pll	pp
pll	dl	pp
tub	dl	pp
spz	Tl	pp
wek	Myd88	pp
Tehao	Tl	pp
pll	Tehao	pp
wek	Tl	pp
pll	Myd88	pp
Myd88	Tl	pp
pll	Tl	pp
tub	Tl	pp
Rel	dl	pp
cact	Dif	pp
cact	dl	pp
Rel	Dif	pp
cact	tub	pp
Pli	pll	pp
cher	tub	pp
cher	pll	pp
Toll-6	spz5	pp
Pli	Myd88	pp
Pli	tub	pp
Toll-7	spz5	pp
cact	pll	pp
smt3	Myd88	pp
smt3	tub	pp
mir-8	Tl	pp
mir-8	dl	pp
MED17	dl	pp
MED17	Dif	pp
MED31	Dif	pp
smt3	dl	pp
MED21	dl	pp
MED31	dl	pp
Cdk8	Dif	pp
MED21	Dif	pp
Cdk8	dl	pp
mir-958	Tl	pp
mir-958	Dif	pp
Toll-6	Myd88	pp
Toll-7	Myd88	pp
Toll-6	wek	pp
Ect4	wek	pp
Ect4	Myd88	pp
dl	Dif	gi
Dif	dl	gi
wek	Myd88	gi
wek	tub	gi
Tl	Dif	gi
wek	Tl	gi
spz	Tl	gi
Tl	Myd88	gi
Tl	spz	gi
wek	pll	gi
cact	Dif	gi
lwr	Dif	gi
Ect4	Myd88	gi
Toll-6	Myd88	gi
dlg1	Myd88	gi
pnr	Myd88	gi
tor::tub	Myd88	gi
PH4αEFB	Tl	gi
Rel	Tl	gi
cact	Tl	gi
dlg1	Tl	gi
mad2	Tl	gi
mxc	Tl	gi
pnr	Tl	gi
vtd	Tl	gi
cact	dl	gi
lwr	dl	gi
mad2	dl	gi
vtd	dl	gi
cact	pll	gi
mad2	pll	gi
NT1	spz	gi
Rel	spz	gi
Toll-6	spz	gi
cact	spz	gi
dlg1	spz	gi
mad2	spz	gi
NT1	spz5	gi
cact	tub	gi
mxc	tub	gi
tor::tub	tub	gi
Ect4	wek	gi
Toll-6	wek	gi
