tkv	Mad	suppressible
Pc	ebi	suppressible
shn	per	suppressible
robo1|sli	Nedd4	enhanceable
COX5A	PPP1R15	suppressible
ct	Psc	suppressible
Rheb	Tor	suppressible
stwl	rpr	suppressible
sd	vg	enhanceable
rpr	Diap2	suppressible
shi	ttk	enhanceable
Nop60B	wg	suppressible
Rab32	w	enhanceable
in	frtz	suppressible
seq	CadN	suppressible
Stoml2	park	suppressible
stg	hfp	suppressible
rpr	Bruce	enhanceable
g	w	enhanceable
hep	ena	suppressible
tkv	sax	enhanceable
msk	Rac1	suppressible
Mmp1	Mmp2	enhanceable
Apc	ewg	suppressible
TkR99D	Gβ5	suppressible
N	Su(H)	suppressible
w	Doa	enhanceable
Ubx	ash2	enhanceable
IntS8	erm	suppressible
mam	Ser	enhanceable
Vinc	mys	suppressible
vas	bel::vas	suppressible
sc	su(Hw)	suppressible
norpA	Vps35|w	suppressible
kst	tum	enhanceable
g|z	E(z)	enhanceable
spn-A	barr|vls	suppressible
kcc	jbug	enhanceable
lace	Spt-I	enhanceable
Pten	DJ-1α	suppressible
Gr59c	Gr22e	suppressible
phyl	E(spl)m8-HLH	suppressible
so	nej	suppressible
wg	eRF1	suppressible
Dg	Dl	enhanceable
chic	capu	enhanceable
Akt1	Tsc1	suppressible
rl	Jra	suppressible
smo	S(smoDN)1378	suppressible
robo1	robo1::robo3	suppressible
Doa	Cpsf6	suppressible
siz	fra	enhanceable
Dronc	Usp15-31	suppressible
E(z)	Pc	suppressible
hid	Rcc1	suppressible
Rala	Ras85D	enhanceable
Myt1	stg	enhanceable
b	qs	suppressible
dpp	lilli	enhanceable
Ras85D	Cka	suppressible
Mtl|Rac1|Rac2	hep	suppressible
pnr	ppo	enhanceable
Myb	nej	enhanceable
pnr	tai	enhanceable
peb	vkg	suppressible
pnr	Fmr1	enhanceable
Dl	Not3	enhanceable
Mms19	Cdk7|CycH|Mat1	suppressible
cmpy	gbb	suppressible
l(1)sc	ptc	enhanceable
l(2)gl	aPKC	suppressible
dome	Stat92E	enhanceable
N	GPHR	enhanceable
ru|rho	sens	enhanceable
sog	tkv	suppressible
arm	pav	suppressible
N	Antp	enhanceable
jus	shg	suppressible
Piezo	ppk	enhanceable
rho|vn	bs	suppressible
phyl	ttk	suppressible
hid	Duba	suppressible
Axn|Rbf	hid	suppressible
mys	Fas2	suppressible
Raf	phyl	enhanceable
bdl	Lar	suppressible
Pka-C1	wg	suppressible
vkg	Col4a1	suppressible
up	Mhc	suppressible
Itp-r83A	Psn	suppressible
w	Rm62	enhanceable
Dl	bib	enhanceable
