ATPsynO	ATPsynE	pp
l(2)gl	aPKC	pp
CG3542	PHGPx	pp
Rpt4	Rpn6	pp
Fer1HCH	sphe	pp
Rpn11	Rpn3	pp
Rpn11	Prosalpha2	pp
Vps24	shrb	pp
regucalcin	PHGPx	pp
Prosalpha5	Rpt1	pp
Rpt6	Rpn1	pp
Rpt5	Prosbeta4	pp
Rpt6	Rpn13	pp
MED6	MED11	pp
betaTub85D	HisRS	pp
mor	Snr1	pp
Hexim	AP-2sigma	pp
PHGPx	CG8036	pp
Prosbeta5	Prosbeta7	pp
Prosbeta3	Prosbeta4	pp
CG8026	Pdss2	pp
Dip-C	CG1227	pp
CG4119	PHGPx	pp
Trf	Brf	pp
Arpc2	Arp3	pp
CG4781	CG7702	pp
Rpn6	Prosalpha2	pp
Rbm13	CG6712	pp
Ntf-2	CG42557	pp
Mvb12	Vps37B	pp
CG10209	Pdss2	pp
Rh5	Nacalpha	pp
Rpt3	Rpn11	pp
dgt2	dgt3	pp
Prosbeta6	Prosalpha3	pp
awd	PHGPx	pp
fax	CG3164	pp
Tm1	CG11459	pp
Ugt36D1	CG11200	pp
Df31	CG30339	pp
Prosbeta1	Prosbeta4R2	pp
Dlc90F	CG14763	pp
Rnp4F	LSm3	pp
Mtpbeta	Mtpalpha	pp
l(1)G0004	CG14715	pp
Rpt5	Rpn13	pp
NC2beta	wds	pp
Prosalpha5	Rpn11	pp
MRP	CG8195	pp
Mccc1	Mccc2	pp
Atg5	Atg16	pp
awd	CG30339	pp
Strip	Mob4	pp
Prosbeta2	Prosalpha2	pp
dgt3	dgt6	pp
Echs1	dpr5	pp
Pfdn4	Pfdn5	pp
Elp3	Elp1	pp
CCT5	CCT2	pp
Prosbeta2	Prosbeta5	pp
gammaSnap1	alphaSnap	pp
Prosalpha4	CG11885	pp
CG12024	CG3529	pp
alphaSnap	Bet1	pp
dod	TpnC25D	pp
Prosbeta6	Rpn6	pp
ATPsynD	ATPsynF	pp
Prosbeta4R2	Prosbeta7	pp
cmb	Ude	pp
Fer1HCH	Hrd3	pp
SkpA	CG7407	pp
ZnT63C	CG31729	pp
vers	ssp	pp
Echs1	CG8195	pp
wal	Arl8	pp
Prosalpha5	Rpt4	pp
fax	CG10425	pp
Prosbeta7	Prosalpha6	pp
alpha-PheRS	Smn	pp
CG11095	UQCR-C1	pp
Df31	CG11771	pp
Rab35	strat	pp
fax	Mec2	pp
Prosbeta2R1	CG12321	pp
AhcyL2	ssp	pp
Prosbeta2R1	Prosalpha6	pp
Rab2	Gale	pp
Gbeta13F	Galphao	pp
Prosalpha2	Prosalpha3	pp
mago	Pym	pp
Rpt4	Prosbeta4	pp
drosha	pasha	pp
Rpt2	Prosbeta7	pp
ATPsynO	ATPsynF	pp
Hsp23	CG14613	pp
CaBP1	LanB1	pp
Gnf1	CG3548	pp
CycK	Cdk12	pp
mago	tsu	pp
CG10494	CG33523	pp
BI-1	CG11811	pp
eIF2beta	eIF5	pp
TFAM	TfAP-2	pp
Hel25E	Arl8	pp
Fer1HCH	Atg4a	pp
snf	snRNP-U1-70K	pp
Treh	Irc	pp
CG6984	Smn	pp
CG3548	Ku80	pp
Arf79F	Hel25E	pp
ATPsynD	ATPsynE	pp
CCT6	CCT7	pp
CG31855	pic	pp
CG17819	CG11852	pp
Nup214	mbo	pp
Irbp	TfAP-2	pp
regucalcin	CG1532	pp
Pp1-87B	A16	pp
Plekhm1	CG11534	pp
Rpt1	Rpn1	pp
Prosbeta2	Prosbeta3	pp
snRNP-U1-70K	snRNP-U1-C	pp
boca	BI-1	pp
CG6712	RpL24-like	pp
awd	Mip	pp
CG4872	CG5194	pp
Prosalpha7	CG2046	pp
Prosalpha5	Prosbeta7	pp
Rho1	RhoGDI	pp
kermit	CG7102	pp
CG10103	Chmp1	pp
dod	Snx3	pp
Mfe2	CG10859	pp
ecd	CG4849	pp
CG8728	CG4612	pp
Nlp	Tango2	pp
betaTub85D	CG31125	pp
Rpt6	Rpt5	pp
Rab18	Vps37B	pp
wac	dgt6	pp
Atpalpha	nrv2	pp
Prosbeta6	Rpn9	pp
tsu	Pym	pp
crn	CG9667	pp
Prosalpha5	Prosalpha6	pp
CG1105	atl	pp
CG6617	Mes2	pp
CG5033	CG8939	pp
snf	SNRPG	pp
Rpt2	Rpn1	pp
Prosalpha5	CG12321	pp
CG11095	CG8728	pp
Nost	Ect3	pp
wdb	tant	pp
Fer1HCH	Cyp6a13	pp
Hexim	PIP4K	pp
CycT	Hexim	pp
Ufd1-like	Npl4	pp
Dak1	CG8132	pp
CG8728	UQCR-C1	pp
Df31	CG8891	pp
Shawn	Swip-1	pp
RpS21	CG6171	pp
Vha55	CG8888	pp
Coq6	CG8026	pp
tant	Pp2A-29B	pp
Arpc5	Arp3	pp
Prosalpha7	Rpt4	pp
viaf	CCT7	pp
crn	Prp8	pp
PHGPx	CG10638	pp
Prosalpha7	Rpt5	pp
sub	CG6388	pp
CG1785	CG8939	pp
ATPsynB	ATPsynF	pp
HDAC1	Lint-1	pp
Prosalpha4	Prosbeta2	pp
RpS21	Hr39	pp
